date,strategy,asset,weight
2013-02-28,RB_CTB_BAND,TIP,0.10744496619657863
2013-02-28,RB_CTB_BAND,LQD,0.0
2013-02-28,RB_CTB_BAND,VNQ,0.05923353716303347
2013-02-28,RB_CTB_BAND,GLD,0.058362579337296515
2013-02-28,RB_CTB_BAND,DBC,0.06069728740172495
2013-03-28,EW,SPY,0.09999999999997726
2013-03-28,EW,VEA,0.09999999999997726
2013-03-28,EW,EEM,0.09999999999997726
2013-03-28,EW,IEF,0.09999999999997726
2013-03-28,EW,TLT,0.09999999999997726
2013-03-28,EW,TIP,0.09999999999997726
2013-03-28,EW,LQD,0.09999999999997726
2013-03-28,EW,VNQ,0.09999999999997726
2013-03-28,EW,GLD,0.09999999999997726
2013-03-28,EW,DBC,0.09999999999997726
2013-03-28,GMV,SPY,0.17622954655326076
2013-03-28,GMV,VEA,0.0
2013-03-28,GMV,EEM,0.0
2013-03-28,GMV,IEF,0.35
2013-03-28,GMV,TLT,0.0
2013-03-28,GMV,TIP,0.24650419017955638
2013-03-28,GMV,LQD,0.2272662632668762
2013-03-28,GMV,VNQ,0.0
2013-03-28,GMV,GLD,0.0
2013-03-28,GMV,DBC,0.0
2013-03-28,ERC,SPY,0.07183796817369954
2013-03-28,ERC,VEA,0.04861686981957217
2013-03-28,ERC,EEM,0.04274264112886894
2013-03-28,ERC,IEF,0.21672689358973926
2013-03-28,ERC,TLT,0.11676847132403735
2013-03-28,ERC,TIP,0.1730484738462797
2013-03-28,ERC,LQD,0.15584754122878727
2013-03-28,ERC,VNQ,0.04899520841992701
2013-03-28,ERC,GLD,0.0641913356977565
2013-03-28,ERC,DBC,0.06122459677134227
2013-03-28,CTB_ONLY,SPY,0.16207027083829642
2013-03-28,CTB_ONLY,VEA,0.10667386481641225
2013-03-28,CTB_ONLY,EEM,0.0013301981361750312
2013-03-28,CTB_ONLY,IEF,0.19411410040499738
2013-03-28,CTB_ONLY,TLT,0.32594281380269613
2013-03-28,CTB_ONLY,TIP,0.032213057417202456
2013-03-28,CTB_ONLY,LQD,0.0
2013-03-28,CTB_ONLY,VNQ,0.04452688154047887
2013-03-28,CTB_ONLY,GLD,0.06048693513200107
2013-03-28,CTB_ONLY,DBC,0.07264187791079543
2013-03-28,RB_CTB_BAND,SPY,0.09955677707950043
2013-03-28,RB_CTB_BAND,VEA,0.06088651175239131
2013-03-28,RB_CTB_BAND,EEM,0.045085998957993347
2013-03-28,RB_CTB_BAND,IEF,0.3168294670540767
2013-03-28,RB_CTB_BAND,TLT,0.19198132290820896
2013-03-28,RB_CTB_BAND,TIP,0.10704361754253028
2013-03-28,RB_CTB_BAND,LQD,1.4422923797321365e-13
2013-03-28,RB_CTB_BAND,VNQ,0.058241618700121865
2013-03-28,RB_CTB_BAND,GLD,0.05916346692185763
2013-03-28,RB_CTB_BAND,DBC,0.06121121908390054
2013-04-30,EW,SPY,0.09999999999997726
2013-04-30,EW,VEA,0.09999999999997726
2013-04-30,EW,EEM,0.09999999999997726
2013-04-30,EW,IEF,0.09999999999997726
