date,strategy,obj_total,dr_term,smooth_term,l2_term,band_penalty,dr,db
2013-01-31,ERC,1.3538551033708187e-06,7.433659367081213e-12,0.0,1.3538476697114516e-06,0.0,7.433659367081213e-12,0.07821005415322511
2013-01-31,CTB_ONLY,0.03048706803377902,0.04497491236130557,0.0,1.5071656627391365e-06,0.0,0.04497491236130557,0.030485560868116282
2013-01-31,RB_CTB_BAND,0.03669575240816437,0.02512177678071675,0.0,1.7658428401517725e-06,0.011572209784607468,0.02512177678071675,0.03021329010083451
2013-02-28,ERC,1.344182168193243e-06,7.620795807524687e-12,1.9606092609675162e-05,1.3441745473974356e-06,0.0,7.620795807524687e-12,0.0767622487196556
2013-02-28,CTB_ONLY,0.02200049896327118,0.07227691944007482,0.01319142506910228,1.7692162140819488e-06,0.0,0.07227691944007482,0.021998729747057095
2013-02-28,RB_CTB_BAND,0.03665416956064141,0.024778136383678564,3.016558087109211e-05,1.7522266677855229e-06,0.011844115369423966,0.024778136383678564,0.030390981365347673
2013-03-28,ERC,1.3446119592306114e-06,8.06865427698643e-12,2.5350645587673022e-06,1.3446038905763343e-06,0.0,8.06865427698643e-12,0.07624435718556273
2013-03-28,CTB_ONLY,0.019080497766002638,0.09206844795766649,0.005303376695160319,1.9352269339316455e-06,0.0,0.09206844795766649,0.019078562539068707
2013-03-28,RB_CTB_BAND,0.03611060180892105,0.024671311787971772,5.08994921166127e-06,1.7498675738258082e-06,0.011432450204163787,0.024671311787971772,0.030121144271624278
2013-04-30,ERC,1.3507030531875164e-06,7.962317854696852e-12,2.751101777327259e-05,1.3506950908696617e-06,0.0,7.962317854696852e-12,0.0752726510667719
2013-04-30,CTB_ONLY,0.015790616834123455,0.11865540020498952,0.010070330630862672,2.2059785391311697e-06,0.0,0.11865540020498952,0.015788410855584325
2013-04-30,RB_CTB_BAND,0.034752298197707324,0.0241275113520772,1.7762089237680373e-05,1.7466731652324831e-06,0.010605278083227206,0.0241275113520772,0.02956384432986511
2013-05-31,ERC,1.3280943379248672e-06,6.066958911928451e-12,0.00016551960356232275,1.3280882709659552e-06,0.0,6.066958911928451e-12,0.07023475439870783
2013-05-31,CTB_ONLY,0.01752485927227168,0.12210313187050041,0.001228001183826484,2.224022298391001e-06,0.0,0.12210313187050041,0.01752263524997329
2013-05-31,RB_CTB_BAND,0.035363867102900154,0.023568613995240524,0.00015813341861698458,1.712019224833675e-06,0.01163540766981781,0.023568613995240524,0.030254774773701386
2013-06-28,ERC,5.226171039690546e-06,3.911624897965821e-06,4.276701653843256e-05,1.3145461417247255e-06,0.0,3.911624897965821e-06,0.07470773294201653
2013-06-28,CTB_ONLY,0.019461676406239758,0.13068683982279777,0.0014258963216497115,2.2850636776392674e-06,0.0,0.13068683982279777,0.019459391342562117
2013-06-28,RB_CTB_BAND,0.042540233117787374,0.024042220929917358,0.00022108211076215622,1.7046699128861075e-06,0.018275225407194975,0.024042220929917358,0.03411817219673208
2013-07-31,ERC,7.751548505645926e-06,6.454230808104627e-06,7.940393427930054e-05,1.2973176975412994e-06,0.0,6.454230808104627e-06,0.07497140519060216
2013-07-31,CTB_ONLY,0.01978745713469504,0.13915228024277662,0.0019679709870403803,2.3444394164821284e-06,0.0,0.13915228024277662,0.019785112695278557
