date,strategy,asset,ctb
2013-01-31,ERC,SPY,0.4274119009456588
2013-01-31,ERC,VEA,0.4751629194609889
2013-01-31,ERC,EEM,0.5066145629902883
2013-01-31,ERC,IEF,0.34527025232727837
2013-01-31,ERC,TLT,0.2789205680854688
2013-01-31,ERC,TIP,0.521693488394332
2013-01-31,ERC,LQD,0.5992841433432874
2013-01-31,ERC,VNQ,0.47976321766395397
2013-01-31,ERC,GLD,0.5130182521353026
2013-01-31,ERC,DBC,0.5123312362029255
2013-01-31,CTB_ONLY,SPY,0.3950113882703329
2013-01-31,CTB_ONLY,VEA,0.4415691280228067
2013-01-31,CTB_ONLY,EEM,0.45324482663998117
2013-01-31,CTB_ONLY,IEF,0.3791819831753687
2013-01-31,CTB_ONLY,TLT,0.3708887057392517
2013-01-31,CTB_ONLY,TIP,0.49580475036270444
2013-01-31,CTB_ONLY,LQD,0.5664547906768365
2013-01-31,CTB_ONLY,VNQ,0.4718935884538602
2013-01-31,CTB_ONLY,GLD,0.45077001987967746
2013-01-31,CTB_ONLY,DBC,0.4407770404975383
2013-01-31,RB_CTB_BAND,SPY,0.4027164882413651
2013-01-31,RB_CTB_BAND,VEA,0.44496650869167237
2013-01-31,RB_CTB_BAND,EEM,0.4666380529786267
2013-01-31,RB_CTB_BAND,IEF,0.399832054813318
2013-01-31,RB_CTB_BAND,TLT,0.3444351008062222
2013-01-31,RB_CTB_BAND,TIP,0.5103236804238113
2013-01-31,RB_CTB_BAND,LQD,0.5486497115768446
2013-01-31,RB_CTB_BAND,VNQ,0.46582090922952407
2013-01-31,RB_CTB_BAND,GLD,0.4682199360227045
2013-01-31,RB_CTB_BAND,DBC,0.4584735748297225
2013-02-28,ERC,SPY,0.4227388171926024
2013-02-28,ERC,VEA,0.4709090493362404
2013-02-28,ERC,EEM,0.5054158122738692
2013-02-28,ERC,IEF,0.3456317407285512
2013-02-28,ERC,TLT,0.27775013760791367
2013-02-28,ERC,TIP,0.5210924262720321
2013-02-28,ERC,LQD,0.5970449291075322
2013-02-28,ERC,VNQ,0.4767028271878119
2013-02-28,ERC,GLD,0.5048252440374842
2013-02-28,ERC,DBC,0.5066700007349195
2013-02-28,CTB_ONLY,SPY,0.3890456838979769
2013-02-28,CTB_ONLY,VEA,0.43609381952272985
2013-02-28,CTB_ONLY,EEM,0.4361532384408163
2013-02-28,CTB_ONLY,IEF,0.3839990780364599
2013-02-28,CTB_ONLY,TLT,0.3829315397517206
2013-02-28,CTB_ONLY,TIP,0.47972610679187205
2013-02-28,CTB_ONLY,LQD,0.5466136025472509
2013-02-28,CTB_ONLY,VNQ,0.447181494102937
2013-02-28,CTB_ONLY,GLD,0.4359397639038395
2013-02-28,CTB_ONLY,DBC,0.4325686979474305
2013-02-28,RB_CTB_BAND,SPY,0.3994252651645267
2013-02-28,RB_CTB_BAND,VEA,0.44225079996090133
2013-02-28,RB_CTB_BAND,EEM,0.4673095408817311
2013-02-28,RB_CTB_BAND,IEF,0.39831825845761715
2013-02-28,RB_CTB_BAND,TLT,0.3415897726490548
2013-02-28,RB_CTB_BAND,TIP,0.5090042781523684
2013-02-28,RB_CTB_BAND,LQD,0.546182243478559
2013-02-28,RB_CTB_BAND,VNQ,0.46214372216079974
2013-02-28,RB_CTB_BAND,GLD,0.46295713539287586
2013-02-28,RB_CTB_BAND,DBC,0.4551403546765843
2013-03-28,ERC,SPY,0.42002492283022724
2013-03-28,ERC,VEA,0.46498913529371827
