date,strategy,portfolio_return,nav,drawdown
2013-02-01,EW,0.0012183694591250827,1.001218369459125,0.0
2013-02-04,EW,-0.0016645496414589714,0.9995517917812197,-0.0016645496414590122
2013-02-05,EW,-4.363133003966029e-05,0.9995081800071007,-0.0017081083449839163
2013-02-06,EW,0.0019340795245968404,1.0014413083127194,0.0
2013-02-07,EW,-0.0031699732134149988,0.9982667661905609,-0.003169973213414945
2013-02-08,EW,0.003772790818313372,1.002033017880272,0.0
2013-02-11,EW,-0.0018156687394669173,1.0002136578537932,-0.0018156687394669246
2013-02-12,EW,0.0014398227840729547,1.0016537882673122,-0.0003784601966132506
2013-02-13,EW,-0.0012847146886652376,1.0003669489325682,-0.0016626886719046663
2013-02-14,EW,0.00025944013549295095,1.000626484269342,-0.0014036799045858972
2013-02-15,EW,-0.003552803942876252,0.9970714545506835,-0.004951496847962589
2013-02-19,EW,0.0015927223412210978,0.9986595125321401,-0.0033666608663938113
2013-02-20,EW,-0.006628151248972043,0.9920402462368524,-0.009972497377939371
2013-02-21,EW,-0.003571922637008517,0.9884967552244954,-0.013508799025816143
2013-02-22,EW,0.004604792672638453,0.9930485778398801,-0.00896621157194788
2013-02-25,EW,-0.003230637562836555,0.9898403978025891,-0.01216788255488388
2013-02-26,EW,0.0025759826148761145,0.9923902094588307,-0.009623244193928904
2013-02-27,EW,0.002290879399008949,0.994663655745458,-0.007354410486795526
2013-02-28,EW,-0.0016877644879188566,0.9929848977498673,-0.009029762461865154
2013-02-01,GMV,-0.0011580474278620448,0.9988419525721379,0.0
2013-02-04,GMV,0.0023946320559362294,1.0012338115305812,0.0
2013-02-05,GMV,-0.000625738835660937,1.0006073006511296,-0.0006257388356610827
2013-02-06,GMV,0.0020549566956752545,1.0026635053233441,0.0
2013-02-07,GMV,-0.00022545000982368053,1.0024374548262192,-0.00022545000982365782
2013-02-08,GMV,0.0016523416043948771,1.0040938239386323,0.0
2013-02-11,GMV,-0.0006955764762210124,1.0033953998947818,-0.0006955764762210936
2013-02-12,GMV,-0.00031174737792695917,1.0030825940098407,-0.0010071070100052815
2013-02-13,GMV,-0.0022961770921626524,1.000779338735928,-0.003300971606122416
2013-02-14,GMV,0.0027048889800116867,1.0034863357406982,-0.0006050113878314223
2013-02-15,GMV,-0.001320773961038076,1.0021609571181944,-0.0019249862655823513
2013-02-19,GMV,0.0005921833293182342,1.0027544201302936,-0.001333942881039607
2013-02-20,GMV,-0.001025700766467364,1.0017258941529874,-0.0023582754212714274
2013-02-21,GMV,0.0002753227609734771,1.0020016920919044,-0.0020836019471979217
2013-02-22,GMV,0.0028588918383171285,1.004866306551406,0.0
2013-02-25,GMV,0.0018694432759372988,1.0067448471114044,0.0
2013-02-26,GMV,-0.0003108291611966219,1.0064319214550377,-0.0003108291611967351
2013-02-27,GMV,0.002005925394547379,1.0084507488041676,0.0
2013-02-28,GMV,0.0007741184448485109,1.0092314091295382,0.0
2013-02-01,ERC,-0.0015178802952264976,0.9984821197047735,0.0
2013-02-04,ERC,0.002076709615048879,1.000555677123219,0.0
2013-02-05,ERC,-0.00156056917883472,0.9989942407717923,-0.0015605691788347364
2013-02-06,ERC,0.002490986832013102,1.0014827222708118,0.0
2013-02-07,ERC,-0.0017572767716987209,0.9997228399457078,-0.0017572767716986792
2013-02-08,ERC,0.002521317403438868,1.002243458540678,0.0
2013-02-11,ERC,-0.0014613891971192129,1.0007787907774832,-0.001461389197119356
2013-02-12,ERC,0.0002925907393768107,1.0010716093838292,-0.001169226046688454
2013-02-13,ERC,-0.002469369362902476,0.9985995938215454,-0.003635708158612805
2013-02-14,ERC,0.0019394851864926103,1.0005363629409998,-0.001703274374236341
2013-02-15,ERC,-0.0027585482110580204,0.9977763351469103,-0.004457124020816439
2013-02-19,ERC,0.00014329210473069834,0.9979193086180239,-0.004314470586767816
2013-02-20,ERC,-0.003141576310339305,0.9947842689584394,-0.007442492658520039
2013-02-21,ERC,-0.000735456638502598,0.994052648263956,-0.008172475666389789
2013-02-22,ERC,0.0030635830033423446,0.9970980110616049,-0.0051339297205942325
2013-02-25,ERC,0.002082039151868054,0.999174008158885,-0.0030625796114073234
2013-02-26,ERC,0.00037250709823650574,0.9995462075692977,-0.0026912133458149023
2013-02-27,ERC,0.0007957905837753193,1.0003416370293297,-0.0018975644042791284
2013-02-28,ERC,-0.0003446818985792802,0.9999968373746505,-0.002241592246756907
2013-02-01,CTB_ONLY,-0.0022380216687631093,0.9977619783312369,0.0
2013-02-04,CTB_ONLY,0.002228988697380658,0.9999859785036135,0.0
