date,strategy,asset,ctr
2013-01-31,ERC,SPY,0.10000036921730093
2013-01-31,ERC,VEA,0.09999941894780921
2013-01-31,ERC,EEM,0.09999920076674029
2013-01-31,ERC,IEF,0.09999996699764112
2013-01-31,ERC,TLT,0.0999983415142017
2013-01-31,ERC,TIP,0.10000111872116037
2013-01-31,ERC,LQD,0.10000143813622421
2013-01-31,ERC,VNQ,0.09999964751400023
2013-01-31,ERC,GLD,0.10000022495868013
2013-01-31,ERC,DBC,0.10000027322624185
2013-01-31,CTB_ONLY,SPY,0.10486261144451327
2013-01-31,CTB_ONLY,VEA,0.13075718200286346
2013-01-31,CTB_ONLY,EEM,0.06906506611736989
2013-01-31,CTB_ONLY,IEF,0.07528103469674068
2013-01-31,CTB_ONLY,TLT,0.2752134626748599
2013-01-31,CTB_ONLY,TIP,0.04718980755275761
2013-01-31,CTB_ONLY,LQD,0.019750349052936506
2013-01-31,CTB_ONLY,VNQ,0.1321578608132164
2013-01-31,CTB_ONLY,GLD,0.07201259466711145
2013-01-31,CTB_ONLY,DBC,0.07371003097763096
2013-01-31,RB_CTB_BAND,SPY,0.12233905056759044
2013-01-31,RB_CTB_BAND,VEA,0.10950007944419786
2013-01-31,RB_CTB_BAND,EEM,0.09144355533100652
2013-01-31,RB_CTB_BAND,IEF,0.159030822821295
2013-01-31,RB_CTB_BAND,TLT,0.19053553436246273
2013-01-31,RB_CTB_BAND,TIP,0.0570752399152522
2013-01-31,RB_CTB_BAND,LQD,2.791312499715978e-14
2013-01-31,RB_CTB_BAND,VNQ,0.11033557999670243
2013-01-31,RB_CTB_BAND,GLD,0.07685586769260971
2013-01-31,RB_CTB_BAND,DBC,0.0828842698688552
2013-02-28,ERC,SPY,0.10000035362471316
2013-02-28,ERC,VEA,0.09999939911428408
2013-02-28,ERC,EEM,0.09999920970491448
2013-02-28,ERC,IEF,0.09999999698805888
2013-02-28,ERC,TLT,0.09999830230086365
2013-02-28,ERC,TIP,0.10000112898307974
2013-02-28,ERC,LQD,0.1000014445998563
2013-02-28,ERC,VNQ,0.09999964394011226
2013-02-28,ERC,GLD,0.1000002151693274
2013-02-28,ERC,DBC,0.10000030557479014
2013-02-28,CTB_ONLY,SPY,0.143508017687591
2013-02-28,CTB_ONLY,VEA,0.1564634909095717
2013-02-28,CTB_ONLY,EEM,0.030072623715493692
2013-02-28,CTB_ONLY,IEF,0.08176594319533974
2013-02-28,CTB_ONLY,TLT,0.3133813007315879
2013-02-28,CTB_ONLY,TIP,0.02865420696002941
2013-02-28,CTB_ONLY,LQD,0.0
2013-02-28,CTB_ONLY,VNQ,0.09615671808002811
2013-02-28,CTB_ONLY,GLD,0.06840947606933302
2013-02-28,CTB_ONLY,DBC,0.08158822265102568
2013-02-28,RB_CTB_BAND,SPY,0.12265295539351458
2013-02-28,RB_CTB_BAND,VEA,0.10985222982902362
2013-02-28,RB_CTB_BAND,EEM,0.0912203282370121
2013-02-28,RB_CTB_BAND,IEF,0.158641718616319
2013-02-28,RB_CTB_BAND,TLT,0.18927805836591174
2013-02-28,RB_CTB_BAND,TIP,0.05674270841056471
2013-02-28,RB_CTB_BAND,LQD,0.0
2013-02-28,RB_CTB_BAND,VNQ,0.10932613386699448
2013-02-28,RB_CTB_BAND,GLD,0.07868731692134887
2013-02-28,RB_CTB_BAND,DBC,0.08359855035931099
