strategy,dr_mean,db_mean
CTB_ONLY,0.0050538838024896,6.162762973352259e-06
ERC,4.410578286295009e-13,0.010861200519793
EW,,
GMV,,
RB_CTB_BAND,5.294779669200946e-06,0.0109528385206754
