date,strategy,dr,db,band_active
2013-01-31,ERC,7.433659367081213e-12,0.0782100541532251,1
2013-01-31,CTB_ONLY,0.0449749123613055,0.0304855608681162,1
2013-01-31,RB_CTB_BAND,0.0251217767807167,0.0302132901008345,1
2013-02-28,ERC,7.620795807524687e-12,0.0767622487196556,1
2013-02-28,CTB_ONLY,0.0722769194400748,0.021998729747057,1
2013-02-28,RB_CTB_BAND,0.0247781363836785,0.0303909813653476,1
2013-03-28,ERC,8.06865427698643e-12,0.0762443571855627,1
2013-03-28,CTB_ONLY,0.0920684479576664,0.0190785625390687,1
2013-03-28,RB_CTB_BAND,0.0246713117879717,0.0301211442716242,1
2013-04-30,ERC,7.962317854696852e-12,0.0752726510667719,1
2013-04-30,CTB_ONLY,0.1186554002049895,0.0157884108555843,1
2013-04-30,RB_CTB_BAND,0.0241275113520772,0.0295638443298651,1
2013-05-31,ERC,6.0669589119284505e-12,0.0702347543987078,1
2013-05-31,CTB_ONLY,0.1221031318705004,0.0175226352499732,1
2013-05-31,RB_CTB_BAND,0.0235686139952405,0.0302547747737013,1
2013-06-28,ERC,3.911624897965821e-06,0.0747077329420165,1
2013-06-28,CTB_ONLY,0.1306868398227977,0.0194593913425621,1
2013-06-28,RB_CTB_BAND,0.0240422209299173,0.034118172196732,1
2013-07-31,ERC,6.454230808104627e-06,0.0749714051906021,1
2013-07-31,CTB_ONLY,0.1391522802427766,0.0197851126952785,1
2013-07-31,RB_CTB_BAND,0.0248543565842696,0.0354480465194275,1
2013-08-30,ERC,3.200304673607133e-12,0.0738215722499614,1
2013-08-30,CTB_ONLY,0.145738059282152,0.0192386698704295,1
2013-08-30,RB_CTB_BAND,0.0251240208124845,0.0352200512937332,1
2013-09-30,ERC,4.477592500780545e-06,0.0791802626535324,1
2013-09-30,CTB_ONLY,0.154311937601977,0.0212056765727539,1
2013-09-30,RB_CTB_BAND,0.0269553421947201,0.0382891511468661,1
2013-10-31,ERC,3.0349084520131496e-12,0.0788995827623311,1
2013-10-31,CTB_ONLY,0.1581697405779071,0.0215852111637409,1
2013-10-31,RB_CTB_BAND,0.0280504241180496,0.0378252176520187,1
2013-11-29,ERC,3.234371634445788e-12,0.0794419962491215,1
2013-11-29,CTB_ONLY,0.1668342328799528,0.0209477863889679,1
2013-11-29,RB_CTB_BAND,0.0286440699498753,0.0375541985609619,1
2013-12-31,ERC,3.490348781198993e-12,0.0802810802399778,1
2013-12-31,CTB_ONLY,0.1725320140381104,0.0204151442091491,1
2013-12-31,RB_CTB_BAND,0.029347367010509,0.0367653247531766,1
2014-01-31,ERC,3.555550435386857e-12,0.0814665109668527,1
2014-01-31,CTB_ONLY,0.1733974302524291,0.0211941090175009,1
2014-01-31,RB_CTB_BAND,0.0300139274963599,0.0374603765194518,1
2014-02-28,ERC,3.636501380697772e-12,0.080984506413977,1
2014-02-28,CTB_ONLY,0.1746324252757038,0.020548299056835,1
2014-02-28,RB_CTB_BAND,0.030179368654305,0.0367861744126621,1
2014-03-31,ERC,3.454301640412165e-12,0.0820198626234123,1
2014-03-31,CTB_ONLY,0.1730733732731439,0.021131118089475,1
2014-03-31,RB_CTB_BAND,0.0305979446413511,0.0377569898461284,1
2014-04-30,ERC,3.5542312673998648e-12,0.0828915189826241,1
2014-04-30,CTB_ONLY,0.1735835227986013,0.0214152249193366,1
2014-04-30,RB_CTB_BAND,0.0314450645695,0.0380595142749761,1
2014-05-30,ERC,3.5504837186739712e-12,0.0831108777933343,1
2014-05-30,CTB_ONLY,0.173950997344996,0.0221917669478652,1
2014-05-30,RB_CTB_BAND,0.0318349632042133,0.038463822332179,1
2014-06-30,ERC,2.3124505732521266e-06,0.0836033712725941,1
2014-06-30,CTB_ONLY,0.1755844085275565,0.022711709424494,1
2014-06-30,RB_CTB_BAND,0.0316730226647569,0.0393480880854954,1
2014-07-31,ERC,2.6978348952792107e-06,0.08495627629978,1
2014-07-31,CTB_ONLY,0.182175050237692,0.0231433731326679,1
2014-07-31,RB_CTB_BAND,0.0325414085246068,0.0401129315602747,1
2014-08-29,ERC,2.919518855106069e-12,0.0906436727630887,1
2014-08-29,CTB_ONLY,0.1871194198408402,0.026283738965676,1
2014-08-29,RB_CTB_BAND,0.036184073789342,0.0443444141506593,1
2014-09-30,ERC,2.0007112352338028e-12,0.0845437126976157,1
2014-09-30,CTB_ONLY,0.1861253661547993,0.0240243742484981,1
2014-09-30,RB_CTB_BAND,0.0361346122653669,0.0405852579432581,1
2014-10-31,ERC,1.433818094789329e-12,0.0785332142221575,1
2014-10-31,CTB_ONLY,0.1817214562760559,0.020555172633084,1
2014-10-31,RB_CTB_BAND,0.0344605400661017,0.0376571228361695,1
2014-11-28,ERC,1.0276322203693165e-12,0.0684221229393616,1
2014-11-28,CTB_ONLY,0.1857860010121858,0.0163511704785861,1
2014-11-28,RB_CTB_BAND,0.0304479036093411,0.03399382732826,1
2014-12-31,ERC,8.147720193275591e-13,0.0607300192952339,1
2014-12-31,CTB_ONLY,0.1774331372588815,0.0125888545171226,0
2014-12-31,RB_CTB_BAND,0.0259136246242859,0.0310481036699855,1
