asset,weight,ctr
SPY,0.0735259557831041,0.0861787551431615
VEA,0.0577388929537941,0.0749967762284408
EEM,0.0769732600621949,0.0992916087719485
IEF,0.1461113887483019,0.09045051516036
TLT,0.0884454907475368,0.0984157819191667
TIP,0.132515092317976,0.0752933536316943
LQD,0.0838459617861041,0.0674540691734289
VNQ,0.0583690861127272,0.0850162672153238
GLD,0.1105079183516409,0.1144401396390974
DBC,0.1719669531373045,0.2084627331173777
