date,strategy,asset,weight
2018-11-30,EW,SPY,0.09999999999997726
2018-11-30,EW,VEA,0.09999999999997726
2018-11-30,EW,EEM,0.09999999999997726
2018-11-30,EW,IEF,0.09999999999997726
2018-11-30,EW,TLT,0.09999999999997726
2018-11-30,EW,TIP,0.09999999999997726
2018-11-30,EW,LQD,0.09999999999997726
2018-11-30,EW,VNQ,0.09999999999997726
2018-11-30,EW,GLD,0.09999999999997726
2018-11-30,EW,DBC,0.09999999999997726
2018-11-30,GMV,SPY,0.039380053135086954
2018-11-30,GMV,VEA,0.011359756942918848
2018-11-30,GMV,EEM,0.0
2018-11-30,GMV,IEF,0.34061865871149444
2018-11-30,GMV,TLT,0.0
2018-11-30,GMV,TIP,0.35
2018-11-30,GMV,LQD,0.19134881890865155
2018-11-30,GMV,VNQ,0.03058956427929234
2018-11-30,GMV,GLD,0.03670314802236505
2018-11-30,GMV,DBC,0.0
2018-11-30,ERC,SPY,0.06405930960518312
2018-11-30,ERC,VEA,0.06257797089524295
2018-11-30,ERC,EEM,0.0525312660898985
2018-11-30,ERC,IEF,0.17065065188547526
2018-11-30,ERC,TLT,0.11680598147223828
2018-11-30,ERC,TIP,0.18124331439739533
2018-11-30,ERC,LQD,0.12636567496020878
2018-11-30,ERC,VNQ,0.07859055199028439
2018-11-30,ERC,GLD,0.08641013712235197
2018-11-30,ERC,DBC,0.06076514158181903
2018-11-30,CTB_ONLY,SPY,0.05917606507716089
2018-11-30,CTB_ONLY,VEA,0.04184718562912974
2018-11-30,CTB_ONLY,EEM,0.05684785596590696
2018-11-30,CTB_ONLY,IEF,0.13590242697403243
2018-11-30,CTB_ONLY,TLT,0.11683451175024541
2018-11-30,CTB_ONLY,TIP,0.22286798127667165
2018-11-30,CTB_ONLY,LQD,0.12274028633252725
2018-11-30,CTB_ONLY,VNQ,0.08497984375906151
2018-11-30,CTB_ONLY,GLD,0.09794645842009908
2018-11-30,CTB_ONLY,DBC,0.06085738481432382
2018-11-30,RB_CTB_BAND,SPY,0.06405930957622678
2018-11-30,RB_CTB_BAND,VEA,0.06257797086461173
2018-11-30,RB_CTB_BAND,EEM,0.05253126606198392
2018-11-30,RB_CTB_BAND,IEF,0.17065065177405006
2018-11-30,RB_CTB_BAND,TLT,0.11680598145659139
2018-11-30,RB_CTB_BAND,TIP,0.18124331499209775
2018-11-30,RB_CTB_BAND,LQD,0.1263656748478929
2018-11-30,RB_CTB_BAND,VNQ,0.07859055189985051
2018-11-30,RB_CTB_BAND,GLD,0.08641013701918057
2018-11-30,RB_CTB_BAND,DBC,0.0607651415075739
2018-12-31,EW,SPY,0.09999999999997726
2018-12-31,EW,VEA,0.09999999999997726
2018-12-31,EW,EEM,0.09999999999997726
2018-12-31,EW,IEF,0.09999999999997726
2018-12-31,EW,TLT,0.09999999999997726
2018-12-31,EW,TIP,0.09999999999997726
2018-12-31,EW,LQD,0.09999999999997726
2018-12-31,EW,VNQ,0.09999999999997726
2018-12-31,EW,GLD,0.09999999999997726
2018-12-31,EW,DBC,0.09999999999997726
2018-12-31,GMV,SPY,0.04071066094524857
2018-12-31,GMV,VEA,0.012691183070381317
2018-12-31,GMV,EEM,0.0
2018-12-31,GMV,IEF,0.3356171867680493
2018-12-31,GMV,TLT,0.0
2018-12-31,GMV,TIP,0.35
2018-12-31,GMV,LQD,0.1958410981111149
2018-12-31,GMV,VNQ,0.02833334569729803
2018-12-31,GMV,GLD,0.03680652540768803
2018-12-31,GMV,DBC,0.0
2018-12-31,ERC,SPY,0.06319873071434887
2018-12-31,ERC,VEA,0.06250775916821476
2018-12-31,ERC,EEM,0.05145933781837681
2018-12-31,ERC,IEF,0.16963916731742912
2018-12-31,ERC,TLT,0.11848003925469434
2018-12-31,ERC,TIP,0.18264700303185868
2018-12-31,ERC,LQD,0.12730916746063914
2018-12-31,ERC,VNQ,0.07785030459383362
2018-12-31,ERC,GLD,0.08609083836578058
2018-12-31,ERC,DBC,0.06081765227405133
2018-12-31,CTB_ONLY,SPY,0.059210501947509604
2018-12-31,CTB_ONLY,VEA,0.04495149510915571
2018-12-31,CTB_ONLY,EEM,0.05144540683462367
2018-12-31,CTB_ONLY,IEF,0.1301056026893212
2018-12-31,CTB_ONLY,TLT,0.12148602347445105
2018-12-31,CTB_ONLY,TIP,0.22404788506296688
2018-12-31,CTB_ONLY,LQD,0.12629162696907237
2018-12-31,CTB_ONLY,VNQ,0.08415940738113935
2018-12-31,CTB_ONLY,GLD,0.09759492741993282
2018-12-31,CTB_ONLY,DBC,0.0607071231112473
2018-12-31,RB_CTB_BAND,SPY,0.06344796195799075
2018-12-31,RB_CTB_BAND,VEA,0.06243964256330129
2018-12-31,RB_CTB_BAND,EEM,0.051690979425527576
2018-12-31,RB_CTB_BAND,IEF,0.1708147837342883
2018-12-31,RB_CTB_BAND,TLT,0.11768371430718097
2018-12-31,RB_CTB_BAND,TIP,0.1818061549369884
2018-12-31,RB_CTB_BAND,LQD,0.12676259429213718
2018-12-31,RB_CTB_BAND,VNQ,0.0782164389256246
2018-12-31,RB_CTB_BAND,GLD,0.0863232848603739
2018-12-31,RB_CTB_BAND,DBC,0.06081444499757333
2019-01-31,EW,SPY,0.09999999999997726
2019-01-31,EW,VEA,0.09999999999997726
2019-01-31,EW,EEM,0.09999999999997726
2019-01-31,EW,IEF,0.09999999999997726
2019-01-31,EW,TLT,0.09999999999997726
2019-01-31,EW,TIP,0.09999999999997726
2019-01-31,EW,LQD,0.09999999999997726
2019-01-31,EW,VNQ,0.09999999999997726
2019-01-31,EW,GLD,0.09999999999997726
2019-01-31,EW,DBC,0.09999999999997726
2019-01-31,GMV,SPY,0.03126746278307332
2019-01-31,GMV,VEA,0.008327945218822321
2019-01-31,GMV,EEM,0.0
2019-01-31,GMV,IEF,0.3473473969395839
2019-01-31,GMV,TLT,0.0
2019-01-31,GMV,TIP,0.35
2019-01-31,GMV,LQD,0.20213703957557916
2019-01-31,GMV,VNQ,0.024153642594916896
2019-01-31,GMV,GLD,0.03676651288778947
2019-01-31,GMV,DBC,0.0
2019-01-31,ERC,SPY,0.062253719284997726
2019-01-31,ERC,VEA,0.062043465792449126
2019-01-31,ERC,EEM,0.051292954915007315
2019-01-31,ERC,IEF,0.1711888211867036
2019-01-31,ERC,TLT,0.11783844663172657
2019-01-31,ERC,TIP,0.18220042628777672
2019-01-31,ERC,LQD,0.12769088007319196
2019-01-31,ERC,VNQ,0.07762208220415223
2019-01-31,ERC,GLD,0.08624141394824944
2019-01-31,ERC,DBC,0.06162778967516329
2019-01-31,CTB_ONLY,SPY,0.05498767929350608
2019-01-31,CTB_ONLY,VEA,0.044514636533781
2019-01-31,CTB_ONLY,EEM,0.05323836005242481
2019-01-31,CTB_ONLY,IEF,0.13051642068418734
2019-01-31,CTB_ONLY,TLT,0.1212687531777831
2019-01-31,CTB_ONLY,TIP,0.22500072927620962
2019-01-31,CTB_ONLY,LQD,0.12588744765527868
2019-01-31,CTB_ONLY,VNQ,0.08270712188921635
2019-01-31,CTB_ONLY,GLD,0.09841364596949398
2019-01-31,CTB_ONLY,DBC,0.06346520546848813
2019-01-31,RB_CTB_BAND,SPY,0.06266747919667873
2019-01-31,RB_CTB_BAND,VEA,0.062139199073262645
2019-01-31,RB_CTB_BAND,EEM,0.05135084699824759
2019-01-31,RB_CTB_BAND,IEF,0.17108169012139088
2019-01-31,RB_CTB_BAND,TLT,0.11795194368446373
2019-01-31,RB_CTB_BAND,TIP,0.1820735879886125
2019-01-31,RB_CTB_BAND,LQD,0.1271062180328366
2019-01-31,RB_CTB_BAND,VNQ,0.0779179341574551
2019-01-31,RB_CTB_BAND,GLD,0.0863304827894856
2019-01-31,RB_CTB_BAND,DBC,0.06138061795735443
2019-02-28,EW,SPY,0.09999999999997726
2019-02-28,EW,VEA,0.09999999999997726
2019-02-28,EW,EEM,0.09999999999997726
2019-02-28,EW,IEF,0.09999999999997726
2019-02-28,EW,TLT,0.09999999999997726
2019-02-28,EW,TIP,0.09999999999997726
2019-02-28,EW,LQD,0.09999999999997726
2019-02-28,EW,VNQ,0.09999999999997726
2019-02-28,EW,GLD,0.09999999999997726
2019-02-28,EW,DBC,0.09999999999997726
2019-02-28,GMV,SPY,0.03057678850715893
2019-02-28,GMV,VEA,0.007015731709004158
2019-02-28,GMV,EEM,0.0
2019-02-28,GMV,IEF,0.35
2019-02-28,GMV,TLT,0.0
2019-02-28,GMV,TIP,0.35
