date,strategy,asset,ctb
2018-11-30,ERC,SPY,0.5512551581351821
2018-11-30,ERC,VEA,0.5628013797227551
2018-11-30,ERC,EEM,0.545600379292449
2018-11-30,ERC,IEF,0.4999921803116897
2018-11-30,ERC,TLT,0.48781600598124114
2018-11-30,ERC,TIP,0.4776321756882481
2018-11-30,ERC,LQD,0.5374226298358247
2018-11-30,ERC,VNQ,0.5076591331686136
2018-11-30,ERC,GLD,0.49716626132581637
2018-11-30,ERC,DBC,0.5174660750283279
2018-11-30,CTB_ONLY,SPY,0.5157819557692779
2018-11-30,CTB_ONLY,VEA,0.5157822858231405
2018-11-30,CTB_ONLY,EEM,0.5157791639244892
2018-11-30,CTB_ONLY,IEF,0.5157842882638921
2018-11-30,CTB_ONLY,TLT,0.5157794271589377
2018-11-30,CTB_ONLY,TIP,0.5157808982948231
2018-11-30,CTB_ONLY,LQD,0.5157851124545004
2018-11-30,CTB_ONLY,VNQ,0.5157833709442753
2018-11-30,CTB_ONLY,GLD,0.5157833918351159
2018-11-30,CTB_ONLY,DBC,0.515782705652265
2018-11-30,RB_CTB_BAND,SPY,0.5512551577291183
2018-11-30,RB_CTB_BAND,VEA,0.5628013793256224
2018-11-30,RB_CTB_BAND,EEM,0.5456003788896422
2018-11-30,RB_CTB_BAND,IEF,0.49999218081354563
2018-11-30,RB_CTB_BAND,TLT,0.4878160065131621
2018-11-30,RB_CTB_BAND,TIP,0.4776321763902954
2018-11-30,RB_CTB_BAND,LQD,0.5374226296893716
2018-11-30,RB_CTB_BAND,VNQ,0.5076591329825357
2018-11-30,RB_CTB_BAND,GLD,0.4971662611714234
2018-11-30,RB_CTB_BAND,DBC,0.5174660748038208
2018-12-31,ERC,SPY,0.5513880809762298
2018-12-31,ERC,VEA,0.5608358579063849
2018-12-31,ERC,EEM,0.5503595565418622
2018-12-31,ERC,IEF,0.5041580512002954
2018-12-31,ERC,TLT,0.48227960602836795
2018-12-31,ERC,TIP,0.474352818778815
2018-12-31,ERC,LQD,0.5341624936248257
2018-12-31,ERC,VNQ,0.5076587714890721
2018-12-31,ERC,GLD,0.4966957589918926
2018-12-31,ERC,DBC,0.517987861189836
2018-12-31,CTB_ONLY,SPY,0.5153966752521705
2018-12-31,CTB_ONLY,VEA,0.514646562472134
2018-12-31,CTB_ONLY,EEM,0.5154409866886699
2018-12-31,CTB_ONLY,IEF,0.5195990555910842
2018-12-31,CTB_ONLY,TLT,0.5126909044852614
2018-12-31,CTB_ONLY,TIP,0.5138621636650489
2018-12-31,CTB_ONLY,LQD,0.5149023764330638
2018-12-31,CTB_ONLY,VNQ,0.5151816729299911
2018-12-31,CTB_ONLY,GLD,0.5152706988165668
2018-12-31,CTB_ONLY,DBC,0.515022849211619
2018-12-31,RB_CTB_BAND,SPY,0.552509486593057
2018-12-31,RB_CTB_BAND,VEA,0.5617336645928453
