date,strategy,obj_total,dr_term,smooth_term,l2_term,band_penalty,dr,db
2018-11-30,ERC,1.196974675147719e-06,4.179967305569541e-13,0.0,1.1969742571509885e-06,0.0,4.179967305569541e-13,0.007655953292547083
2018-11-30,CTB_ONLY,1.2586191619460463e-06,0.003623331685372313,0.0,1.2585846396048923e-06,0.0,0.003623331685372313,3.452234115410116e-11
2018-11-30,RB_CTB_BAND,1.196974675894977e-06,4.1780441718209285e-13,0.0,1.1969742580905598e-06,0.0,4.1780441718209285e-13,0.007655953105861381
2018-12-31,ERC,1.2010301425123275e-06,4.3452402076253997e-13,1.8466643162470624e-05,1.2010297079883067e-06,0.0,4.3452402076253997e-13,0.008191474666055219
2018-12-31,CTB_ONLY,2.9228376560958947e-05,0.0034337840519577264,0.0002177751494111209,1.2629943243756523e-06,0.0,0.0034337840519577264,2.7965382236583294e-05
2018-12-31,RB_CTB_BAND,9.628238247981834e-06,3.3869321363003107e-06,5.041170031865014e-06,1.2001360798165098e-06,0.0,3.3869321363003107e-06,0.008641147612288937
2019-01-31,ERC,1.2031015062156477e-06,4.4402364739042343e-13,1.0051165600253405e-05,1.2031010621920004e-06,0.0,4.4402364739042343e-13,0.008869787157510387
2019-01-31,CTB_ONLY,9.458502755257635e-06,0.0037274887800412904,6.582292029032986e-05,1.266066909677483e-06,0.0,0.0037274887800412904,8.192435845580152e-06
2019-01-31,RB_CTB_BAND,5.981186454155532e-06,1.6639268666016792e-06,3.1152043145536474e-06,1.2020552730002058e-06,0.0,1.6639268666016792e-06,0.009157639069906395
2019-02-28,ERC,1.1966603986335178e-06,4.033891132419632e-13,5.866155413586588e-05,1.1966599952444045e-06,0.0,4.033891132419632e-13,0.0074922008382565155
2019-02-28,CTB_ONLY,2.0195351794050456e-05,0.0034313068828378712,0.00026382931146951927,1.2606496340279253e-06,0.0,0.0034313068828378712,1.893470216002253e-05
2019-02-28,RB_CTB_BAND,2.572583866798558e-05,1.2042327399549868e-05,1.2485020547054167e-05,1.1984907213815421e-06,0.0,1.2042327399549868e-05,0.00670548508088245
2019-03-29,ERC,1.1969096720474278e-06,3.9494442257510904e-13,1.028325584679716e-05,1.1969092771030051e-06,0.0,3.9494442257510904e-13,0.007855216368322208
2019-03-29,CTB_ONLY,1.241514798118417e-06,0.0025127719984920607,0.002401744477432708,1.2414843623700557e-06,0.0,0.0025127719984920607,3.043574836133409e-11
2019-03-29,RB_CTB_BAND,1.5716190733894695e-05,9.422304707691562e-06,5.096275255388201e-06,1.1976107708149311e-06,0.0,9.422304707691562e-06,0.007621698814615152
2019-04-30,ERC,1.1994385721420504e-06,4.0272125601004345e-13,7.511875068612657e-06,1.1994381694207945e-06,0.0,4.0272125601004345e-13,0.007986977919298675
2019-04-30,CTB_ONLY,1.0707191180302178e-05,0.0024671459552469315,2.0652608819507783e-05,1.2453480540125761e-06,0.0,0.0024671459552469315,9.461843126289601e-06
