date,strategy,portfolio_return,nav,drawdown
2018-12-03,EW,-0.008877863613772772,0.9911221363862273,0.0
2018-12-04,EW,0.0068966673174830915,0.9979575760318762,0.0
2018-12-05,EW,0.00646881008642777,1.0044131740655382,0.0
2018-12-06,EW,-0.0009352382346286976,1.0034738084617874,-0.0009352382346287103
2018-12-07,EW,-0.005291850753002597,0.9981635748328604,-0.006222139846475128
2018-12-10,EW,-0.0032935550594866006,0.9948760681407744,-0.009495201945789566
2018-12-11,EW,-0.0022041357401164185,0.9926832262419988,-0.011678408971937726
2018-12-12,EW,0.002051419316582279,0.994719635787559,-0.009650946969107288
2018-12-13,EW,-0.005187768593806021,0.9895592605013781,-0.014788648683326522
2018-12-14,EW,-0.0007851541079004413,0.9887823039829845,-0.01556219142296289
2018-12-17,EW,-0.010701366264307446,0.9782009823923968,-0.02609702097697797
2018-12-18,EW,0.0019425956309470883,0.9801012313469805,-0.02420512130496144
2018-12-19,EW,0.006113772616524875,0.9860933474166118,-0.018239333296250715
2018-12-20,EW,0.002083039567342556,0.9881474188763739,-0.016194286981846107
2018-12-21,EW,0.008985904965784035,0.9970268176745819,-0.007353902339869545
2018-12-24,EW,-0.00017498801263883025,0.9968523499332094,-0.007527603507752723
2018-12-25,EW,0.0002037083479581236,0.9970554170785724,-0.007325428595469363
2018-12-26,EW,-0.000874904981499761,0.996183088327339,-0.008193924522999274
2018-12-27,EW,-0.0033290114899099327,0.9928667833802434,-0.011495658344024662
2018-12-28,EW,0.003083086100366139,0.9959278771595982,-0.008448014348113597
2018-12-31,EW,0.007109326461714493,1.0030082535706482,-0.0013987475783530101
2018-12-03,GMV,0.0007748858272150399,1.000774885827215,0.0
2018-12-04,GMV,0.0008168585442253655,1.0015923773435491,0.0
2018-12-05,GMV,0.001296749447749361,1.0028911917057393,0.0
2018-12-06,GMV,-0.0012358104083436798,1.0016518083325932,-0.0012358104083436405
2018-12-07,GMV,-0.005200539523208149,0.9964426785148666,-0.00642992305068002
2018-12-10,GMV,0.0006143206035080515,0.997054813782493,-0.005819552481380885
2018-12-11,GMV,-0.004498548301525255,0.9925695145434242,-0.010291921244975466
2018-12-12,GMV,-0.003501628263364599,0.9890939050779448,-0.013757511026024405
2018-12-13,GMV,-0.0036690087468670145,0.985464910888741,-0.017376043344601744
2018-12-14,GMV,0.00216885567715415,0.9876022420553583,-0.015244873797702008
2018-12-17,GMV,-0.0034803700309286156,0.984165020809631,-0.0186721860267397
2018-12-18,GMV,0.001951650040580424,0.986085766512432,-0.016756977558776143
2018-12-19,GMV,0.0009607627202713419,0.9870331609558872,-0.015812314317847687
2018-12-20,GMV,0.000896850922635216,0.9879183825569621,-0.014929644683897458
2018-12-21,GMV,0.000598581552386562,0.9885097322760242,-0.014339999741402432
2018-12-24,GMV,-0.0023723920517763368,0.9861645996440691,-0.016678371691769667
2018-12-25,GMV,-0.0037418350251326366,0.9824745344045751,-0.020357799001543775
2018-12-26,GMV,-0.004365416784706982,0.9781856235815382,-0.024634345508789735
2018-12-27,GMV,0.0005547854291222459,0.9787283067124781,-0.02409322685561166
2018-12-28,GMV,-0.0036964575237788838,0.9751104790993954,-0.027700624789708028
2018-12-31,GMV,0.0024011109964693746,0.9774518275935336,-0.02536602606803029
2018-12-03,ERC,-0.0044580854146931284,0.9955419145853068,0.0
2018-12-04,ERC,0.004203318119278801,0.9997264939533849,0.0
2018-12-05,ERC,0.003671357031433926,1.0033968468464713,0.0
2018-12-06,ERC,-0.0013490938819635278,1.0020431702992092,-0.0013490938819635812
2018-12-07,ERC,-0.005194756587299064,0.9968377999395394,-0.006536842254932451
2018-12-10,ERC,-0.0015295859542333384,0.995313050842103,-0.008056429547067645
2018-12-11,ERC,-0.0034809203822598585,0.9918484453566975,-0.011509306139508846
2018-12-12,ERC,-0.00033628691276651784,0.9915148997050761,-0.011841722623245676
2018-12-13,ERC,-0.004606876903763192,0.9869471126138878,-0.016394046168555
2018-12-14,ERC,0.0005846175167108785,0.987524099183989,-0.01581901289840415
2018-12-17,ERC,-0.007260074200748041,0.9803546009488864,-0.022964239891727134
2018-12-18,ERC,0.0019284443391275386,0.982245160229424,-0.021080080811021085
2018-12-19,ERC,0.0037855423931964583,0.9859634909239846,-0.017374337957386632
2018-12-20,ERC,0.0019060243863704054,0.9878427613817566,-0.01550142948286004
2018-12-21,ERC,0.0053264617904120815,0.9931044681051917,-0.010257535464285206
2018-12-24,ERC,-0.0013561348306730934,0.9917576845454972,-0.011599759693838307
