strategy,ann_return,ann_vol,sharpe,max_drawdown,turnover_mean,turnover_p95,dr_mean,db_mean,active_rate
CTB_ONLY,0.048271731551249975,0.06133293972475845,0.7870441522594095,-0.05659077993146944,0.019851161672305957,0.03201513545213,0.005053883802489656,6.162762973352259e-06,0.0
ERC,0.04768151560400202,0.062004441313197184,0.7690016165640923,-0.05637366345658801,0.011549046620186104,0.020250815174259574,4.410578286295009e-13,0.01086120051979309,0.0
EW,0.06240641454644802,0.07887951063605031,0.7911612793135967,-0.06142661185114018,0.012549488906841363,0.021521749325635886,,,0.0
GMV,0.026261550919513654,0.05421558082264518,0.48439121228679205,-0.047330289749631826,0.011000431156745372,0.01590398160581789,,,0.0
RB_CTB_BAND,0.047617296226785344,0.062012520242754825,0.7678658445162719,-0.056390795042741804,0.011136242617655584,0.019725116399160563,5.294779669200946e-06,0.01095283852067545,0.0
